RK,TEAM,W,L,T,SOS,PR
204,TEXAS ST.,17,18,0,65.98,67.73
205,RIDER,15,16,0,67.37,67.61
206,MT. ST. MARY'S MD.,13,18,0,65.96,67.50
207,MARIST,17,12,0,65.06,67.42
208,TEMPLE,12,19,0,69.84,67.39
209,EAST TENNESSEE ST.,19,16,0,65.58,67.37
210,MERRIMACK,21,11,0,62.95,67.34
211,NORTHERN KENTUCKY,18,15,0,66.49,67.34
212,RADFORD,16,17,0,67.48,67.34
213,CALIFORNIA RIVERSIDE,15,17,0,67.17,67.30
214,AIR FORCE,9,21,0,72.36,67.24
215,CAL STATE FULLERTON,14,18,0,68.24,67.09
216,RICE,11,20,0,70.93,67.02
217,BOWLING GREEN,19,12,0,63.32,67.01
218,GARDNER-WEBB,17,16,0,67.09,66.95
219,ST. THOMAS MN.,20,13,0,59.94,66.94
220,PENNSYLVANIA,11,18,0,68.06,66.90
221,ALBANY,13,19,0,66.53,66.87
222,ABILENE CHRISTIAN,15,16,0,67.75,66.85
223,IDAHO ST.,14,19,0,65.31,66.81
224,LONG BEACH ST.,18,14,0,66.12,66.67
225,NORTHERN COLORADO,19,13,0,65.10,66.62
226,NORTHEASTERN,12,20,0,69.83,66.52
227,LAMAR,19,13,0,60.76,66.42
228,BALL ST.,15,16,0,64.62,66.36
229,LEHIGH,14,17,0,63.64,66.35
230,AUSTIN PEAY,19,15,0,64.71,66.34
231,NORFOLK ST.,21,10,0,59.23,66.29
232,CAL BAPTIST,15,16,0,65.88,66.21
233,HARVARD,14,13,0,68.46,66.19
234,ST. PETER'S,16,13,0,65.45,66.12
235,MARSHALL,13,20,0,68.96,66.09
236,CAL STATE BAKERSFIELD,13,18,0,66.90,66.04
237,GEORGIA ST.,14,17,0,65.17,66.00
238,CALIFORNIA SANTA BARBARA,16,14,0,65.04,65.89
239,MONTANA ST.,15,17,0,63.77,65.87
240,JACKSONVILLE ST.,14,17,0,62.66,65.82
241,MARYLAND BALTIMORE COUNTY,11,21,0,67.59,65.70
242,CANISIUS,13,17,0,67.37,65.69
243,FRESNO ST.,11,20,0,73.40,65.60
